Zero 3 5 [1, 3, 4, 5, 8]
[60, 12, 19, 22, 48]
[60, 12, 19, 27, 48]
[60, 8, 15, 21, 54]
[60, 8, 15, 22, 51]
[60, 8, 15, 22, 54]
[60, 8, 15, 23, 54]
[60, 8, 15, 27, 51]
[60, 8, 15, 27, 54]
[60, 8, 17, 21, 54]
[60, 8, 17, 22, 51]
[60, 8, 17, 22, 54]
[60, 8, 17, 23, 54]
[60, 8, 17, 27, 51]
[60, 8, 18, 21, 54]
[60, 8, 18, 22, 51]
[60, 8, 18, 22, 54]
[60, 8, 18, 23, 54]
[60, 8, 18, 27, 51]
[60, 8, 19, 21, 54]
[60, 8, 19, 22, 51]
[60, 8, 19, 22, 54]
[60, 8, 19, 23, 54]
[60, 8, 19, 27, 51]
[60, 8, 19, 27, 54]
[60, 9, 15, 21, 54]
[60, 9, 15, 22, 51]
[60, 9, 15, 22, 54]
[60, 9, 15, 23, 54]
[60, 9, 15, 27, 51]
[60, 9, 15, 27, 54]
[60, 9, 17, 21, 54]
[60, 9, 17, 22, 51]
[60, 9, 17, 22, 54]
[60, 9, 17, 23, 54]
[60, 9, 17, 27, 51]
[60, 9, 18, 21, 54]
[60, 9, 18, 22, 51]
[60, 9, 18, 22, 54]
[60, 9, 18, 23, 54]
[60, 9, 18, 27, 51]
[60, 9, 19, 21, 54]
[60, 9, 19, 22, 51]
[60, 9, 19, 22, 54]
[60, 9, 19, 23, 54]
[60, 9, 19, 27, 51]
[60, 9, 19, 27, 54]
[60, 12, 14, 22, 54]
[60, 12, 15, 22, 54]
[60, 12, 19, 22, 54]
[60, 8, 14, 32, 40]
[60, 8, 14, 35, 40]
[60, 8, 14, 38, 39]
[60, 8, 14, 38, 40]
[60, 8, 15, 30, 39]
[60, 8, 15, 30, 40]
[60, 8, 15, 32, 40]
[60, 8, 15, 32, 43]
[60, 8, 15, 32, 44]
[60, 8, 15, 34, 39]
[60, 8, 15, 34, 40]
[60, 8, 15, 35, 40]
[60, 8, 15, 35, 43]
[60, 8, 15, 35, 44]
[60, 8, 15, 38, 39]
[60, 8, 15, 38, 40]
[60, 8, 15, 38, 43]
[60, 8, 15, 38, 44]
[60, 8, 17, 30, 39]
[60, 8, 17, 30, 40]
[60, 8, 17, 32, 40]
[60, 8, 17, 32, 43]
[60, 8, 17, 32, 44]
[60, 8, 17, 34, 39]
[60, 8, 17, 34, 40]
[60, 8, 17, 35, 40]
[60, 8, 17, 35, 43]
[60, 8, 17, 35, 44]
[60, 8, 17, 38, 39]
[60, 8, 17, 38, 40]
[60, 8, 17, 38, 43]
[60, 8, 17, 38, 44]
[60, 8, 18, 30, 39]
[60, 8, 18, 30, 40]
[60, 8, 18, 32, 40]
[60, 8, 18, 32, 43]
[60, 8, 18, 32, 44]
[60, 8, 18, 34, 39]
[60, 8, 18, 34, 40]
[60, 8, 18, 35, 40]
[60, 8, 18, 35, 43]
[60, 8, 18, 35, 44]
[60, 8, 18, 38, 39]
[60, 8, 18, 38, 40]
[60, 8, 18, 38, 43]
[60, 8, 18, 38, 44]
[60, 8, 19, 30, 39]
[60, 8, 19, 30, 40]
[60, 8, 19, 32, 40]
[60, 8, 19, 32, 43]
[60, 8, 19, 32, 44]
[60, 8, 19, 34, 39]
[60, 8, 19, 34, 40]
[60, 8, 19, 35, 40]
[60, 8, 19, 35, 43]
[60, 8, 19, 35, 44]
[60, 8, 19, 38, 39]
[60, 8, 19, 38, 43]
[60, 8, 19, 38, 44]
[60, 9, 14, 32, 40]
[60, 9, 14, 35, 40]
[60, 9, 14, 38, 39]
[60, 9, 14, 38, 40]
[60, 9, 15, 30, 39]
[60, 9, 15, 30, 40]
[60, 9, 15, 32, 40]
[60, 9, 15, 32, 43]
[60, 9, 15, 32, 44]
[60, 9, 15, 34, 39]
[60, 9, 15, 34, 40]
[60, 9, 15, 35, 40]
[60, 9, 15, 35, 43]
[60, 9, 15, 35, 44]
[60, 9, 15, 38, 39]
[60, 9, 15, 38, 40]
[60, 9, 15, 38, 43]
[60, 9, 15, 38, 44]
[60, 9, 17, 30, 39]
[60, 9, 17, 30, 40]
[60, 9, 17, 32, 40]
[60, 9, 17, 32, 43]
[60, 9, 17, 32, 44]
[60, 9, 17, 34, 39]
[60, 9, 17, 34, 40]
[60, 9, 17, 35, 40]
[60, 9, 17, 35, 43]
[60, 9, 17, 35, 44]
[60, 9, 17, 38, 39]
[60, 9, 17, 38, 40]
[60, 9, 17, 38, 43]
[60, 9, 17, 38, 44]
[60, 9, 18, 30, 39]
[60, 9, 18, 30, 40]
[60, 9, 18, 32, 40]
[60, 9, 18, 32, 43]
[60, 9, 18, 32, 44]
[60, 9, 18, 34, 39]
[60, 9, 18, 34, 40]
[60, 9, 18, 35, 40]
[60, 9, 18, 35, 43]
[60, 9, 18, 35, 44]
[60, 9, 18, 38, 39]
[60, 9, 18, 38, 40]
[60, 9, 18, 38, 43]
[60, 9, 18, 38, 44]
[60, 9, 19, 30, 39]
[60, 9, 19, 30, 40]
[60, 9, 19, 32, 40]
[60, 9, 19, 32, 43]
[60, 9, 19, 32, 44]
[60, 9, 19, 34, 39]
[60, 9, 19, 34, 40]
[60, 9, 19, 35, 40]
[60, 9, 19, 35, 43]
[60, 9, 19, 35, 44]
[60, 9, 19, 38, 39]
[60, 9, 19, 38, 40]
[60, 9, 19, 38, 43]
[60, 9, 19, 38, 44]
[60, 12, 14, 30, 40]
[60, 12, 14, 34, 40]
[60, 12, 14, 38, 40]
[60, 12, 14, 38, 43]
[60, 12, 14, 38, 44]
[60, 12, 15, 30, 40]
[60, 12, 15, 30, 43]
[60, 12, 15, 30, 44]
[60, 12, 15, 34, 40]
[60, 12, 15, 34, 43]
[60, 12, 15, 34, 44]
[60, 12, 15, 38, 40]
[60, 12, 15, 38, 43]
[60, 12, 15, 38, 44]
[60, 12, 19, 30, 40]
[60, 12, 19, 30, 43]
[60, 12, 19, 30, 44]
[60, 12, 19, 34, 40]
[60, 12, 19, 34, 43]
[60, 12, 19, 34, 44]
[60, 12, 19, 38, 40]
[60, 12, 19, 38, 43]
[60, 12, 19, 38, 44]
[60, 8, 14, 32, 46]
[60, 8, 14, 32, 48]
[60, 8, 14, 35, 46]
[60, 8, 14, 35, 48]
[60, 8, 14, 38, 46]
[60, 8, 14, 38, 47]
[60, 8, 14, 38, 48]
[60, 8, 15, 30, 46]
[60, 8, 15, 30, 47]
[60, 8, 15, 30, 48]
[60, 8, 15, 32, 46]
[60, 8, 15, 32, 48]
[60, 8, 15, 34, 46]
[60, 8, 15, 34, 47]
[60, 8, 15, 34, 48]
[60, 8, 15, 35, 46]
[60, 8, 15, 35, 48]
[60, 8, 15, 38, 46]
[60, 8, 15, 38, 47]
[60, 8, 15, 38, 48]
[60, 8, 17, 30, 47]
[60, 8, 17, 30, 48]
[60, 8, 17, 32, 48]
[60, 8, 17, 34, 47]
[60, 8, 17, 34, 48]
[60, 8, 17, 35, 48]
[60, 8, 17, 38, 47]
[60, 8, 17, 38, 48]
[60, 8, 18, 30, 47]
[60, 8, 18, 30, 48]
[60, 8, 18, 32, 48]
[60, 8, 18, 34, 47]
[60, 8, 18, 34, 48]
[60, 8, 18, 35, 48]
[60, 8, 18, 38, 47]
[60, 8, 18, 38, 48]
[60, 8, 19, 30, 46]
[60, 8, 19, 30, 47]
[60, 8, 19, 30, 48]
[60, 8, 19, 32, 46]
[60, 8, 19, 32, 48]
[60, 8, 19, 34, 46]
[60, 8, 19, 34, 47]
[60, 8, 19, 34, 48]
[60, 8, 19, 35, 46]
[60, 8, 19, 35, 48]
[60, 9, 14, 32, 46]
[60, 9, 14, 32, 48]
[60, 9, 14, 35, 46]
[60, 9, 14, 35, 48]
[60, 9, 14, 38, 46]
[60, 9, 14, 38, 47]
[60, 9, 14, 38, 48]
[60, 9, 15, 30, 46]
[60, 9, 15, 30, 47]
[60, 9, 15, 30, 48]
[60, 9, 15, 32, 46]
