Blaster 3 6 [0, 1, 2, 4, 5, 7] Mon Aug 23 21:03:52 2021
[36, 14, 20, 34, 51, 68]
[36, 14, 20, 35, 44, 53]
[36, 14, 20, 35, 44, 54]
[36, 14, 20, 35, 44, 56]
[36, 14, 20, 35, 44, 57]
[36, 14, 20, 35, 44, 58]
[36, 14, 20, 35, 44, 59]
[36, 14, 20, 35, 44, 61]
[36, 14, 20, 35, 44, 62]
[36, 14, 20, 35, 44, 67]
[36, 14, 20, 35, 45, 53]
[36, 14, 20, 35, 45, 54]
[36, 14, 20, 35, 45, 55]
[36, 14, 20, 35, 45, 56]
[36, 14, 20, 35, 45, 57]
[36, 14, 20, 35, 45, 58]
[36, 14, 20, 35, 45, 59]
[36, 14, 20, 35, 45, 61]
[36, 14, 20, 35, 45, 62]
[36, 14, 20, 35, 45, 67]
[36, 14, 20, 35, 45, 68]
[36, 14, 20, 35, 46, 53]
[36, 14, 20, 35, 46, 54]
[36, 14, 20, 35, 46, 55]
[36, 14, 20, 35, 46, 56]
[36, 14, 20, 35, 46, 57]
[36, 14, 20, 35, 46, 58]
[36, 14, 20, 35, 46, 59]
[36, 14, 20, 35, 46, 61]
[36, 14, 20, 35, 46, 62]
[36, 14, 20, 35, 46, 67]
[36, 14, 20, 35, 46, 68]
[36, 14, 20, 35, 48, 53]
[36, 14, 20, 35, 48, 54]
[36, 14, 20, 35, 48, 55]
[36, 14, 20, 35, 48, 56]
[36, 14, 20, 35, 48, 57]
[36, 14, 20, 35, 48, 58]
[36, 14, 20, 35, 48, 59]
[36, 14, 20, 35, 48, 61]
[36, 14, 20, 35, 48, 62]
[36, 14, 20, 35, 48, 67]
[36, 14, 20, 35, 48, 68]
[36, 14, 20, 35, 50, 55]
[36, 14, 20, 35, 50, 56]
[36, 14, 20, 35, 50, 57]
[36, 14, 20, 35, 50, 58]
[36, 14, 20, 35, 50, 61]
[36, 14, 20, 35, 50, 62]
[36, 14, 20, 35, 50, 67]
[36, 14, 20, 35, 50, 68]
[36, 14, 20, 35, 51, 55]
[36, 14, 20, 35, 51, 56]
[36, 14, 20, 35, 51, 57]
[36, 14, 20, 35, 51, 58]
[36, 14, 20, 35, 51, 61]
[36, 14, 20, 35, 51, 62]
[36, 14, 20, 35, 51, 67]
[36, 14, 20, 35, 51, 68]
[36, 14, 21, 28, 44, 56]
[36, 14, 21, 28, 44, 57]
[36, 14, 21, 28, 44, 58]
[36, 14, 21, 28, 44, 61]
[36, 14, 21, 28, 44, 62]
[36, 14, 21, 28, 44, 67]
[36, 14, 21, 28, 45, 55]
[36, 14, 21, 28, 45, 56]
[36, 14, 21, 28, 45, 57]
[36, 14, 21, 28, 45, 58]
[36, 14, 21, 28, 45, 61]
[36, 14, 21, 28, 45, 62]
[36, 14, 21, 28, 45, 67]
[36, 14, 21, 28, 45, 68]
[36, 14, 21, 28, 46, 55]
[36, 14, 21, 28, 46, 56]
[36, 14, 21, 28, 46, 57]
[36, 14, 21, 28, 46, 58]
[36, 14, 21, 28, 46, 61]
[36, 14, 21, 28, 46, 62]
[36, 14, 21, 28, 46, 67]
